model,cv_roc_auc,test_roc_auc,accuracy,precision,recall,f1
SVM_Linear,0.7055555555555557,0.6454545454545455,0.6666666666666666,0.6666666666666666,0.6,0.631578947368421
LogisticRegression_L2,0.7444444444444445,0.6181818181818182,0.6190476190476191,0.6,0.6,0.6
NeuralNet,0.7055555555555555,0.6,0.5714285714285714,0.6,0.3,0.4
LogisticRegression_L1,0.7555555555555556,0.5909090909090909,0.47619047619047616,0.4444444444444444,0.4,0.42105263157894735
RandomForest,0.7555555555555555,0.5090909090909091,0.47619047619047616,0.4444444444444444,0.4,0.42105263157894735
SVM_RBF,0.7166666666666666,0.4727272727272727,0.5238095238095238,0.5,0.4,0.4444444444444444
GradientBoosting,0.6305555555555556,0.4636363636363636,0.42857142857142855,0.4166666666666667,0.5,0.45454545454545453
